trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
279,1124,1.1437986642370912,447.0,30.0,30.0
280,1125,1.1411613193859405,434.0,30.0,30.0
281,1126,1.1418640876399302,437.0,30.0,30.0
282,1128,1.1583877567265273,1000.0,30.0,30.0
283,1129,1.1534349852491004,463.0,30.0,30.0
284,1130,1.1530324249527655,461.0,30.0,30.0
285,1131,1.1497949083332974,444.0,30.0,30.0
286,1132,1.147415602628745,432.0,30.0,30.0
287,1133,1.1450407601096673,420.0,30.0,30.0
288,1134,1.1460823994553306,425.0,30.0,30.0
289,1135,1.1418907542463674,404.0,30.0,30.0
290,1136,1.1418314951209514,404.0,30.0,30.0
291,1137,1.1403199445203176,396.0,30.0,30.0
292,1138,1.139559877420029,392.0,30.0,30.0
293,1139,1.1409306059348183,399.0,30.0,30.0
294,1140,1.1425341119356192,407.0,30.0,30.0
295,1141,1.1410052737510343,399.0,30.0,30.0
296,1142,1.1430292542635487,409.0,30.0,30.0
297,1143,1.1444330585771672,415.0,30.0,30.0
298,1144,1.1462513972460746,424.0,30.0,30.0
299,1145,1.1399677956266199,393.0,30.0,30.0
300,1146,1.1397250720467835,391.0,30.0,30.0
301,1147,1.1401914305034015,394.0,30.0,30.0
302,1148,1.142673454966113,406.0,30.0,30.0
303,1149,1.1425289431387786,405.0,30.0,30.0
304,1150,1.1405524880191142,395.0,30.0,30.0
305,1151,1.1404654237344098,394.0,30.0,30.0
306,1152,1.1393170457736592,388.0,30.0,30.0
307,1153,1.1377342088378317,380.0,30.0,30.0
308,1154,1.1406346146384565,394.0,30.0,30.0
309,1155,1.139752724530973,390.0,30.0,30.0
310,1156,1.1370095221991208,376.0,30.0,30.0
311,1157,1.1379256118667698,380.0,30.0,30.0
312,1158,1.1371779081717786,376.0,30.0,30.0
313,1159,1.1361117681872113,371.0,30.0,30.0
314,1160,1.1380136371125302,380.0,30.0,30.0
315,1161,1.1386454932061751,383.0,30.0,30.0
316,1162,1.1377749042061664,378.0,30.0,30.0
317,1163,1.1333494796521821,356.0,30.0,30.0
318,1164,1.1321359066023688,350.0,30.0,30.0
319,1174,1.1296612821622776,321.0,30.0,30.0
320,1278,1.1317025039755189,347.0,30.0,30.0
321,1279,1.1327197217057239,352.0,30.0,30.0
322,1280,1.1316152744494563,347.0,30.0,30.0
323,1283,1.1300219628358388,323.0,30.0,30.0
324,1284,1.1303636010966458,340.0,30.0,30.0
325,1285,1.1304895821572187,340.0,30.0,30.0
326,1286,1.1319545171014407,348.0,30.0,30.0
327,1289,1.1305509276564365,340.0,30.0,30.0
328,1290,1.1324712433922692,350.0,30.0,30.0
329,1291,1.1330910115102866,353.0,30.0,30.0
330,1327,1.1315508743902565,345.0,30.0,30.0
331,1328,1.1343161316078578,359.0,30.0,30.0
332,1329,1.1345527712161343,360.0,30.0,30.0
333,1330,1.1320942311157705,347.0,30.0,30.0
334,1331,1.1320500499896182,347.0,30.0,30.0
335,1332,1.1358044323799565,365.0,30.0,30.0
336,1333,1.1394532465716036,383.0,30.0,30.0
337,1334,1.1432329282078348,402.0,30.0,30.0
338,1335,1.1423001453552553,397.0,30.0,30.0
339,1336,1.1434321384059907,403.0,30.0,30.0
340,1337,1.1436883789287475,404.0,30.0,30.0
341,1338,1.145774603017281,414.0,30.0,30.0
342,1339,1.1478780614175217,424.0,30.0,30.0
343,1340,1.1472046202466222,421.0,30.0,30.0
344,1341,1.151339866540404,441.0,30.0,30.0
345,1342,1.1512924752982887,440.0,30.0,30.0
346,1343,1.150732648247964,437.0,30.0,30.0
347,1344,1.1526931606979238,447.0,30.0,30.0
348,1345,1.152772738137649,447.0,30.0,30.0
349,1346,1.1490233798735734,428.0,30.0,30.0
350,1347,1.1468298393738332,417.0,30.0,30.0
351,1348,1.145709698458588,411.0,30.0,30.0
352,1349,1.1459326989679508,412.0,30.0,30.0
353,1350,1.145137993462807,408.0,30.0,30.0
354,1351,1.1446907319207067,406.0,30.0,30.0
355,1352,1.1440875028037847,403.0,30.0,30.0
356,1353,1.1457488676545122,411.0,30.0,30.0
357,1354,1.1453993909663664,409.0,30.0,30.0
358,1355,1.1454177794232756,409.0,30.0,30.0
359,1356,1.1495367317467429,429.0,30.0,30.0
360,1357,1.1444020626768627,403.0,30.0,30.0
361,1358,1.1434998902678173,398.0,30.0,30.0
362,1359,1.1416732579840356,389.0,30.0,30.0
363,1360,1.142890619895595,395.0,30.0,30.0
364,1361,1.1424789561991606,393.0,30.0,30.0
365,1362,1.1432670456556677,397.0,30.0,30.0
366,1363,1.1416102666846015,388.0,30.0,30.0
367,1364,1.1448032383670426,404.0,30.0,30.0
368,1365,1.1430241976051374,395.0,30.0,30.0
369,1366,1.1483241655858403,421.0,30.0,30.0
370,1367,1.1415019415313405,387.0,30.0,30.0
371,1368,1.1360338093529736,359.0,30.0,30.0
372,1369,1.1342074630608079,350.0,30.0,30.0
373,1370,1.1353041024563846,355.0,30.0,30.0
374,1371,1.1397811941407834,377.0,30.0,30.0
375,1372,1.1382653732131358,370.0,30.0,30.0
376,1373,1.136102371225233,359.0,30.0,30.0
377,1374,1.1343683455481237,350.0,30.0,30.0
378,1375,1.1365453030799728,360.0,30.0,30.0
379,1376,1.1347547385230545,351.0,30.0,30.0
380,1377,1.1366742759555297,361.0,30.0,30.0
381,1378,1.1362754923899463,359.0,30.0,30.0
382,1379,1.1339531219501755,347.0,30.0,30.0
383,1380,1.1325601333379285,340.0,30.0,30.0
384,1381,1.1411766916021289,383.0,30.0,30.0
385,1382,1.1416107106355387,385.0,30.0,30.0
386,1383,1.1402662329557867,378.0,30.0,30.0
387,1384,1.1366296169800805,359.0,30.0,30.0
388,1385,1.1334884731340042,343.0,30.0,30.0
389,1386,1.1348382037683047,350.0,30.0,30.0
390,1387,1.1357497940189976,355.0,30.0,30.0
391,1388,1.1360569507659792,356.0,30.0,30.0
392,1389,1.136997651591284,360.0,30.0,30.0
393,1422,1.1334379749347137,342.0,30.0,30.0
394,1427,1.133164221027946,341.0,30.0,30.0
395,1428,1.1340662962128973,345.0,30.0,30.0
396,1429,1.1345746013636353,347.0,30.0,30.0
397,1430,1.1338758584442505,344.0,30.0,30.0
398,1431,1.1352484116223915,351.0,30.0,30.0
399,1432,1.1387968685162413,368.0,30.0,30.0
400,1433,1.1433109934992747,390.0,30.0,30.0
401,1434,1.1415071998237252,381.0,30.0,30.0
402,1435,1.1434933635913291,391.0,30.0,30.0
403,1436,1.142554606068295,386.0,30.0,30.0
404,1437,1.1392845693708773,370.0,30.0,30.0
405,1438,1.1387892646527864,367.0,30.0,30.0
406,1439,1.141633786587102,381.0,30.0,30.0
