minute,median,p25,p75,pair
160,5672.029858368307,2379.075886475041,13474.134244925976,ETH/SHIB
161,5638.7988260065895,2372.4008028945564,13363.91687483256,ETH/SHIB
162,5628.380738339756,2347.0675408800503,13359.632483759951,ETH/SHIB
163,5592.987652354804,2317.483059824311,13310.875132682548,ETH/SHIB
164,5607.208200995885,2312.218113834589,13311.310661553514,ETH/SHIB
165,5566.918659088642,2301.732348376253,13204.415504534605,ETH/SHIB
166,5505.5374203377105,2288.050790510322,13022.916435418852,ETH/SHIB
167,5510.742980464178,2266.9915413922004,13017.864779137697,ETH/SHIB
168,5431.494889151453,2238.4683870433787,12967.84439776814,ETH/SHIB
169,5337.044660973032,2211.8343064243923,12869.129381207178,ETH/SHIB
170,5306.695254332061,2173.130114010905,12932.46738625532,ETH/SHIB
171,5283.672813721087,2167.6463409456737,12876.593133994566,ETH/SHIB
172,5242.555149262641,2154.7163915749984,12766.043688664942,ETH/SHIB
173,5252.157236084959,2173.8158364642536,12856.451862507038,ETH/SHIB
174,5274.637509948722,2174.868551486718,12919.823120955522,ETH/SHIB
175,5260.0510048119295,2182.188225268186,12809.646416860109,ETH/SHIB
176,5228.1641563212515,2205.4624984399425,12802.990515610223,ETH/SHIB
177,5273.503769259419,2241.831046255983,12692.574304177599,ETH/SHIB
178,5283.718359334424,2296.0613900352864,12667.75689377484,ETH/SHIB
179,5268.818717069405,2307.024182683755,12594.797633790498,ETH/SHIB
180,5294.758602337076,2311.3366027410802,12717.34156500243,ETH/SHIB
181,5350.271692049285,2323.809840839878,12836.968170479076,ETH/SHIB
182,5338.980818265424,2332.6196558229576,12855.626832112992,ETH/SHIB
183,5414.22262278604,2344.4825489459713,12794.142023869565,ETH/SHIB
184,5472.288185692979,2378.394216050872,12838.01762305762,ETH/SHIB
185,5474.033979046046,2386.8315798291583,12818.44170154186,ETH/SHIB
186,5507.91205767424,2396.601439034671,12879.114614591312,ETH/SHIB
187,5529.941940919156,2408.817179871941,12897.833968427114,ETH/SHIB
188,5463.615958188768,2386.8192951998067,12836.391023666365,ETH/SHIB
189,5410.541394082844,2375.425807240693,12761.514891069552,ETH/SHIB
190,5395.138281913358,2354.130623094918,12708.747419171896,ETH/SHIB
191,5393.229447391023,2345.90981463087,12747.180042999518,ETH/SHIB
192,5364.295231213449,2329.4064918779145,12742.179117393423,ETH/SHIB
193,5360.246165290009,2308.4756876949264,12720.594422742954,ETH/SHIB
194,5375.51417506051,2292.10116945802,12701.496349537374,ETH/SHIB
195,5376.453632695532,2291.916960930798,12687.186205926451,ETH/SHIB
196,5354.47510653774,2298.4907124055876,12586.303759582674,ETH/SHIB
197,5348.41779258818,2297.101586371435,12417.34113311639,ETH/SHIB
198,5302.634659232958,2319.011684584182,12544.225166592285,ETH/SHIB
199,5244.512153554779,2298.465505688496,12474.360205371522,ETH/SHIB
200,5263.460479519257,2322.429903315005,12389.92683587086,ETH/SHIB
201,5224.059961148833,2315.723206921643,12287.21383634439,ETH/SHIB
202,5206.43976635643,2324.8622169939913,12209.927554324306,ETH/SHIB
203,5218.234484193142,2336.638830616172,12161.543418323667,ETH/SHIB
204,5232.4467894604995,2337.0247277789686,12080.546871704184,ETH/SHIB
205,5208.401727409763,2336.0130692700427,12101.103598737023,ETH/SHIB
206,5197.919032143992,2337.355815370509,11998.937418780884,ETH/SHIB
207,5143.361393895002,2308.4991157017776,11936.20310508433,ETH/SHIB
208,5112.325328442124,2279.6725020838653,11945.192690974045,ETH/SHIB
209,5030.473673942791,2282.471017551094,12000.811438516723,ETH/SHIB
210,5008.283403806366,2271.37547739315,12054.44601809695,ETH/SHIB
211,4970.655546526023,2237.2977267563697,12059.616586652637,ETH/SHIB
212,4924.356022739801,2221.11867267391,12005.481333307873,ETH/SHIB
213,4914.894695593771,2195.408600211753,11922.493954016483,ETH/SHIB
214,4941.978047021572,2163.6300300050043,11896.567421479189,ETH/SHIB
215,4901.080660411051,2130.730099208261,11898.067574385928,ETH/SHIB
216,4866.849258103406,2119.318713910672,11862.037326731743,ETH/SHIB
217,4851.280001238589,2105.513423679993,11918.460706649817,ETH/SHIB
218,4827.991710126813,2074.638017407003,11845.720356141795,ETH/SHIB
219,4812.86839879277,2044.2491431674678,11865.575616910173,ETH/SHIB
220,4782.927487322046,2026.9273275484584,11849.97425470514,ETH/SHIB
221,4747.835155373641,1978.2934315344944,11852.37266610046,ETH/SHIB
222,4729.964066816936,1990.3536886185082,11834.79543579204,ETH/SHIB
223,4704.210932240346,1984.047400301402,11724.411354287357,ETH/SHIB
224,4689.506471984319,1961.4480688322878,11520.538812989924,ETH/SHIB
225,4668.491843127874,1941.6513480583753,11399.37322635497,ETH/SHIB
226,4614.053129788091,1919.7457081898685,11311.182116351125,ETH/SHIB
227,4593.506181319013,1902.0992730402586,11374.680011775581,ETH/SHIB
228,4560.39395544215,1877.3437098121178,11319.902731543512,ETH/SHIB
229,4517.493029423564,1881.0201832713158,11179.393678117305,ETH/SHIB
230,4525.314767373657,1870.2430249286656,11112.748614402597,ETH/SHIB
231,4529.002714808626,1860.4572835601134,11059.139903318404,ETH/SHIB
232,4515.098888138189,1844.1289031962558,11068.778766271482,ETH/SHIB
233,4566.36446956152,1871.6872962554526,11155.971881028845,ETH/SHIB
234,4593.002040874803,1904.4084036363977,11173.17885572233,ETH/SHIB
235,4617.401901756054,1923.5934932850955,11240.187606173628,ETH/SHIB
236,4634.97384047274,1932.7746274010492,11284.732234367333,ETH/SHIB
237,4688.488940306244,1941.870163000533,11331.398332341998,ETH/SHIB
238,4676.527756478125,1936.8280116265153,11421.516731433956,ETH/SHIB
239,4714.973772258261,1961.1024097712377,11508.702981010903,ETH/SHIB
240,4778.173750986268,1991.336209864462,11515.09754805381,ETH/SHIB
241,4872.418498896649,2011.6703653718178,11708.422008788279,ETH/SHIB
242,4948.908739671606,2029.6561905466926,11774.104134741174,ETH/SHIB
243,4985.792734645511,2053.259117763124,11783.198477164744,ETH/SHIB
244,5022.709369374449,2092.065462991866,11964.241834805465,ETH/SHIB
245,5026.79970546454,2112.1784958849785,12171.156660262068,ETH/SHIB
246,5029.405671407836,2146.967726993186,12295.881144856603,ETH/SHIB
