trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
240,690,1.0518488374746842,27.0,32.0,28.0
241,692,1.0645434381418024,28.0,31.0,29.0
242,695,1.068344998940903,29.0,30.0,30.0
243,704,1.0592125468370388,30.0,31.0,29.0
244,707,1.0568650475845862,31.0,32.0,28.0
245,710,1.053671040836623,32.0,33.0,27.0
246,712,1.0642441412044366,27.0,32.0,28.0
247,716,1.0677984303640313,28.0,31.0,29.0
248,719,1.0538064820493755,31.0,32.0,28.0
249,720,1.0517241804527409,32.0,33.0,27.0
250,724,1.0487989302240217,33.0,34.0,26.0
251,728,1.0626195224705264,26.0,33.0,27.0
252,729,1.068963129817641,27.0,32.0,28.0
253,740,1.0713163370598822,28.0,31.0,29.0
254,741,1.0734422870947553,29.0,30.0,30.0
255,742,1.0764953838046605,30.0,29.0,31.0
256,743,1.0832482946275463,31.0,28.0,32.0
257,751,1.0886866511173674,32.0,27.0,33.0
258,754,1.0962968935193345,33.0,26.0,34.0
259,755,1.1006570961791524,34.0,25.0,35.0
260,756,1.108254347931988,35.0,24.0,36.0
261,758,1.1227055488512945,36.0,23.0,37.0
262,759,1.1353405013430413,37.0,22.0,38.0
263,767,1.1196890292434976,22.0,23.0,37.0
264,770,1.111961899067859,23.0,24.0,36.0
265,771,1.109839140546807,24.0,25.0,35.0
266,772,1.106653594854283,25.0,26.0,34.0
267,777,1.1165553335316467,34.0,25.0,35.0
268,781,1.1030917510566858,25.0,26.0,34.0
269,788,1.117675787139112,34.0,25.0,35.0
270,791,1.1065554524351295,25.0,26.0,34.0
271,794,1.1004539828141426,26.0,27.0,33.0
272,795,1.0973917740931014,27.0,28.0,32.0
273,802,1.1077023766541159,32.0,27.0,33.0
274,803,1.115250288772017,33.0,26.0,34.0
275,812,1.1043312178227092,26.0,27.0,33.0
276,817,1.1136642485991983,33.0,26.0,34.0
277,821,1.115783222143795,34.0,25.0,35.0
278,822,1.1206611148802292,35.0,24.0,36.0
279,824,1.1235518022920612,36.0,23.0,37.0
280,826,1.109455718079342,23.0,24.0,36.0
281,833,1.1070248737795956,24.0,25.0,35.0
282,834,1.1031675247277608,25.0,26.0,34.0
283,835,1.089653738059947,26.0,27.0,33.0
