policy,regime,gas_price_wei,valuation,median,ci_low,ci_high,n_windows
MEVChargeHook,mid,5000000000,net_result_tt_delta,-932.0982543343725,-1350.1912335389334,-604.8164771411575,48
MEVChargeHook,mid,20000000000,net_result_delta,-1324.4030325189751,-1776.1449105483298,-896.3554842302694,48
MEVChargeHook,mid,20000000000,net_result_tt_delta,-1276.3510447941621,-1705.394182036187,-804.5155658077915,48
MEVChargeHook,mid,80000000000,net_result_delta,-1189.999062741344,-1624.281864468816,-917.7396303647365,48
MEVChargeHook,mid,80000000000,net_result_tt_delta,-1212.1907706555908,-1587.4868727620105,-928.0165599986076,48
MEVChargeHook,low,5000000000,net_result_delta,-753.4316246842354,-1082.6040494791614,-525.1011144559798,48
MEVChargeHook,low,5000000000,net_result_tt_delta,-703.2508532881202,-991.0873602174488,-450.945620302773,48
MEVChargeHook,low,20000000000,net_result_delta,-840.6747362441097,-1281.6752171064,-574.7410667180993,48
MEVChargeHook,low,20000000000,net_result_tt_delta,-930.8699885597312,-1238.8661256653868,-582.4009121216868,48
MEVChargeHook,low,80000000000,net_result_delta,-737.0961427932502,-1129.4507469260388,-541.5230823140646,48
MEVChargeHook,low,80000000000,net_result_tt_delta,-636.7803935099354,-980.242036101642,-480.11488645340705,48
