policy,regime,gas_price_wei,valuation,median,ci_low,ci_high,n_windows
ABHook,high,5000000000,net_result_tt_delta,-331.99515888562746,-594.101749531892,-247.75067755365308,48
ABHook,high,20000000000,net_result_delta,-1106.9151277498531,-1298.9080368264404,-908.6778044652965,48
ABHook,high,20000000000,net_result_tt_delta,-1111.1761017487988,-1356.570860206608,-900.8461741688225,48
ABHook,high,80000000000,net_result_delta,-1773.5554543881917,-2329.6613160573106,-1290.1294907664342,48
ABHook,high,80000000000,net_result_tt_delta,-1772.122866045972,-2256.982879735355,-1400.3411056936784,48
ABHook,mid,5000000000,net_result_delta,-279.80034773694933,-398.6724576659435,-222.06812441791408,48
ABHook,mid,5000000000,net_result_tt_delta,-296.794250090642,-396.4957172846407,-209.76622770638278,48
ABHook,mid,20000000000,net_result_delta,-694.6589525089439,-930.8849842551936,-563.9462608384383,48
ABHook,mid,20000000000,net_result_tt_delta,-690.0673483065111,-896.8537212241026,-535.3812472953523,48
ABHook,mid,80000000000,net_result_delta,-1398.8096250863164,-1958.7591208361737,-1130.386209679069,48
ABHook,mid,80000000000,net_result_tt_delta,-1349.2126322297827,-2058.8019333261,-1132.5750110086192,48
ABHook,low,5000000000,net_result_delta,-324.7376317398921,-410.2441006670633,-243.38713499162142,48
ABHook,low,5000000000,net_result_tt_delta,-311.5389356232754,-396.5385003852625,-248.9634767196785,48
ABHook,low,20000000000,net_result_delta,-635.5484429486705,-741.240090129806,-463.4911917989539,48
ABHook,low,20000000000,net_result_tt_delta,-620.9525922343691,-732.9035243480212,-436.79171426872654,48
ABHook,low,80000000000,net_result_delta,-1119.053880306502,-1320.8380501091906,-976.4052297361159,48
ABHook,low,80000000000,net_result_tt_delta,-1098.848353474647,-1208.3301151727683,-923.4614684611697,48
MEVChargeHook,high,5000000000,net_result_delta,-3232.7571425846327,-4219.007611643756,-2576.2340735225953,48
MEVChargeHook,high,5000000000,net_result_tt_delta,-3260.2642390750916,-4630.719630433089,-2215.6709961085435,48
MEVChargeHook,high,20000000000,net_result_delta,-2993.8524546649587,-5260.310395560646,-2455.177649267185,48
MEVChargeHook,high,20000000000,net_result_tt_delta,-3246.1438727338536,-5553.40354815562,-2275.7137276351496,48
MEVChargeHook,high,80000000000,net_result_delta,-4302.714252809077,-5198.497223853014,-3185.210683532372,48
MEVChargeHook,high,80000000000,net_result_tt_delta,-4450.746366505164,-5280.416672616317,-3422.7006252569117,48
MEVChargeHook,mid,5000000000,net_result_delta,-3382.3824034152494,-4088.190851928739,-2790.065746520304,48
MEVChargeHook,mid,5000000000,net_result_tt_delta,-3305.1637638293614,-3993.330774627113,-2489.6872134704827,48
MEVChargeHook,mid,20000000000,net_result_delta,-3705.1650371584547,-4529.139874699547,-2835.6377940486564,48
MEVChargeHook,mid,20000000000,net_result_tt_delta,-3591.823381335611,-4263.188489466687,-2830.568818535976,48
MEVChargeHook,mid,80000000000,net_result_delta,-3599.1585647260063,-5051.933609309952,-3101.34713650963,48
MEVChargeHook,mid,80000000000,net_result_tt_delta,-3668.3073000442037,-5108.3122549244545,-2750.327053090092,48
MEVChargeHook,low,5000000000,net_result_delta,-2812.0826739689874,-3444.4877858462205,-2059.522374676615,48
MEVChargeHook,low,5000000000,net_result_tt_delta,-2526.2902219179578,-3294.52931540968,-1920.7799387504783,48
MEVChargeHook,low,20000000000,net_result_delta,-2868.4736867398406,-3604.6044381524553,-1924.0050804652165,48
MEVChargeHook,low,20000000000,net_result_tt_delta,-2556.0921569455195,-3355.9712646659827,-1883.0653799799093,48
MEVChargeHook,low,80000000000,net_result_delta,-2871.1566433313837,-3810.809943606455,-1989.7518676242107,48
MEVChargeHook,low,80000000000,net_result_tt_delta,-2691.5270058136366,-3762.422947010051,-1912.5027489145214,48
