minute,kappa_3_usdt_per_min,kappa_1_usdt_per_min,kappa_0.3_usdt_per_min,kappa_0.1_usdt_per_min,kappa_0.03_usdt_per_min
191,34782.72488179063,11594.241627263544,3478.272488179063,1159.4241627263543,347.8272488179063
192,34762.84373783112,11587.614579277042,3476.284373783112,1158.7614579277042,347.6284373783112
193,34583.351307798745,11527.783769266249,3458.3351307798744,1152.7783769266248,345.83351307798745
194,34519.828150591224,11506.60938353041,3451.9828150591225,1150.6609383530408,345.19828150591223
195,34082.22304175633,11360.741013918778,3408.222304175633,1136.0741013918778,340.82223041756333
196,33862.00916797316,11287.336389324386,3386.200916797316,1128.7336389324387,338.6200916797316
197,33495.2861555562,11165.0953851854,3349.52861555562,1116.50953851854,334.952861555562
198,33358.68534608283,11119.561782027611,3335.868534608283,1111.956178202761,333.5868534608283
199,32996.653492698,10998.884497566001,3299.6653492698,1099.8884497566,329.96653492698
200,32732.002153533926,10910.66738451131,3273.2002153533927,1091.066738451131,327.32002153533927
201,32715.755462771933,10905.251820923977,3271.575546277193,1090.5251820923977,327.1575546277193
202,32714.308340409745,10904.769446803248,3271.4308340409743,1090.4769446803248,327.14308340409747
203,32937.51445270923,10979.171484236409,3293.751445270923,1097.9171484236408,329.3751445270923
204,33012.752496045265,11004.250832015088,3301.2752496045264,1100.4250832015089,330.1275249604526
205,33206.08995248252,11068.696650827507,3320.608995248252,1106.8696650827508,332.06089952482523
206,33114.53849204227,11038.179497347424,3311.4538492042275,1103.8179497347423,331.1453849204227
207,32958.002548706354,10986.000849568785,3295.8002548706354,1098.6000849568784,329.58002548706355
208,32746.27969865485,10915.426566218284,3274.627969865485,1091.5426566218284,327.4627969865485
209,32513.136339328656,10837.712113109552,3251.3136339328653,1083.771211310955,325.13136339328656
210,31993.067972571298,10664.3559908571,3199.30679725713,1066.43559908571,319.930679725713
211,31747.152700160448,10582.384233386816,3174.7152700160445,1058.2384233386815,317.4715270016045
212,31436.53762366296,10478.84587455432,3143.6537623662957,1047.884587455432,314.3653762366296
213,31101.264694153913,10367.088231384638,3110.126469415391,1036.7088231384637,311.0126469415391
214,30681.047169141006,10227.015723047001,3068.1047169141007,1022.7015723047001,306.81047169141004
215,30371.226126125912,10123.742042041971,3037.122612612591,1012.3742042041971,303.71226126125913
216,30461.80149804494,10153.933832681647,3046.180149804494,1015.3933832681647,304.6180149804494
217,30664.546189243974,10221.51539641466,3066.4546189243974,1022.1515396414659,306.64546189243976
218,30655.590229491037,10218.530076497012,3065.559022949104,1021.8530076497012,306.55590229491037
219,30751.286711923192,10250.428903974396,3075.128671192319,1025.0428903974396,307.5128671192319
220,30943.43274015988,10314.477580053293,3094.343274015988,1031.4477580053292,309.4343274015988
221,30673.576448744432,10224.52548291481,3067.3576448744434,1022.4525482914811,306.7357644874443
222,30379.722425741984,10126.574141913994,3037.9722425741984,1012.6574141913994,303.7972242574198
223,30182.390302290267,10060.796767430089,3018.2390302290264,1006.0796767430088,301.82390302290264
224,29740.51142630232,9913.50380876744,2974.051142630232,991.350380876744,297.4051142630232
225,29381.95083969192,9793.98361323064,2938.1950839691917,979.3983613230639,293.81950839691916
226,29126.17642994875,9708.725476649584,2912.6176429948755,970.8725476649585,291.26176429948754
227,29000.528072231173,9666.842690743724,2900.0528072231173,966.6842690743723,290.0052807223117
228,28807.774239958093,9602.591413319366,2880.7774239958094,960.2591413319365,288.0777423995809
229,28583.754555910346,9527.91818530345,2858.3754555910346,952.7918185303449,285.8375455591035
230,28427.77211956102,9475.924039853673,2842.777211956102,947.5924039853674,284.2777211956102
231,28806.723536238107,9602.241178746037,2880.672353623811,960.2241178746036,288.0672353623811
232,29007.35133544832,9669.117111816107,2900.735133544832,966.9117111816107,290.0735133544832
233,29308.47475251326,9769.491584171086,2930.8474752513257,976.9491584171086,293.08474752513257
234,29650.17161503699,9883.390538345664,2965.017161503699,988.3390538345664,296.5017161503699
235,30170.38100115993,10056.79366705331,3017.038100115993,1005.6793667053311,301.70381001159933
236,29954.314149614936,9984.77138320498,2995.4314149614934,998.4771383204978,299.54314149614936
237,29914.846708071556,9971.615569357185,2991.484670807156,997.1615569357185,299.1484670807156
