minute,kappa_3_usdt_per_min,kappa_1_usdt_per_min,kappa_0.3_usdt_per_min,kappa_0.1_usdt_per_min,kappa_0.03_usdt_per_min
130,38974.32752474263,12991.442508247543,3897.432752474263,1299.1442508247544,389.7432752474263
131,38463.97557979033,12821.325193263441,3846.3975579790326,1282.1325193263442,384.63975579790326
132,38596.7721909777,12865.590730325901,3859.67721909777,1286.55907303259,385.967721909777
133,38569.706034178555,12856.568678059517,3856.9706034178553,1285.6568678059516,385.6970603417855
134,38188.38765339198,12729.462551130662,3818.8387653391983,1272.9462551130662,381.8838765339198
135,37988.09811574846,12662.699371916153,3798.8098115748458,1266.2699371916153,379.8809811574846
136,37715.47904631005,12571.826348770019,3771.5479046310056,1257.1826348770019,377.15479046310054
137,37340.802803016675,12446.934267672224,3734.0802803016677,1244.6934267672225,373.40802803016675
138,37065.55054176579,12355.183513921931,3706.5550541765792,1235.518351392193,370.65550541765793
139,36759.619980206306,12253.206660068769,3675.9619980206303,1225.3206660068768,367.59619980206304
140,36342.85896004693,12114.286320015643,3634.285896004693,1211.4286320015642,363.42858960046925
141,36419.58588587495,12139.861961958317,3641.9585885874953,1213.9861961958318,364.19585885874955
142,36587.074373887364,12195.691457962455,3658.7074373887367,1219.5691457962455,365.87074373887367
143,36824.11542752703,12274.70514250901,3682.411542752703,1227.470514250901,368.2411542752703
144,37103.99794588061,12367.999315293537,3710.399794588061,1236.7999315293537,371.0399794588061
145,37489.13842039021,12496.379473463405,3748.913842039022,1249.6379473463405,374.89138420390213
146,37324.39679772516,12441.46559924172,3732.439679772516,1244.146559924172,373.2439679772516
147,37126.27561020301,12375.425203401004,3712.627561020301,1237.5425203401003,371.2627561020301
148,36816.38128438525,12272.127094795082,3681.6381284385247,1227.2127094795082,368.16381284385244
149,36746.99340502367,12248.997801674555,3674.699340502367,1224.8997801674557,367.4699340502367
150,36506.614021952664,12168.871340650887,3650.661402195266,1216.8871340650887,365.06614021952663
